True Strain,True Stress (MPa)
1.94591,1.3650838735148074
1.94915,1.3747379573613852
1.95238,1.384427024752797
1.9556,1.394150900014079
1.95881,1.4039094041846423
1.96201,1.4137023550118157
1.9652,1.423529566944678
1.96838,1.4333908511281912
1.97155,1.4432860153976315
1.97471,1.4532148642733191
1.97786,1.4631771989556497
1.981,1.473172817320439
1.98413,1.483201513914568
1.98725,1.4932630799519453
1.99036,1.5033573033097778
1.99346,1.5134839685251598
1.99655,1.52364285679198
1.99964,1.5338669391951194
