Strain,Experimental_Stress,Model_Stress
0.06795,0.00149,0.0040132519582508795
0.09084,0.00343,0.005233567053474354
0.11362,0.00382,0.006390755409142767
0.13636,0.00483,0.007493369275064046
0.15909,0.00621,0.008547049881733567
0.18181,0.00682,0.00955551134679063
0.20455,0.00752,0.010523391487628738
0.22727,0.00785,0.011452035317367259
0.25,0.00856,0.012345487294543328
0.27272,0.00996,0.0132055223067493
0.29545,0.01073,0.014035252740058133
0.31818,0.01116,0.01483646197387393
0.34091,0.01217,0.015611149664622622
0.36364,0.01235,0.016361162009001146
0.38636,0.01293,0.01708789085649047
0.40909,0.01382,0.017793555618494602
0.43182,0.0148,0.018479296439956466
0.45455,0.01524,0.019146473048080866
0.47727,0.01586,0.019796066778141733
0.5,0.01689,0.020429824739664676
0.52273,0.01669,0.021048552491374075
0.54545,0.01792,0.021653008227711185
0.56818,0.01887,0.022244677136909176
0.59091,0.01909,0.02282418120331711
0.61364,0.01989,0.023392353985101862
0.63637,0.02027,0.023949976044976784
0.65909,0.02052,0.024497540081168903
0.68182,0.0215,0.02503621430433757
0.70454,0.0218,0.025566168765419863
0.72727,0.02293,0.02608847567237009
0.75,0.02288,0.026603469972708016
0.77273,0.02432,0.027111688369266345
0.79546,0.02437,0.02761363661239577
0.81818,0.02484,0.028109574597036224
0.84091,0.02519,0.028600388913417367
0.86363,0.02596,0.029086072534631534
0.88636,0.02669,0.029567454834556306
0.90909,0.02689,0.030044701268899666
0.93182,0.02755,0.030518171836200488
0.95455,0.02817,0.030988207580263404
0.97727,0.02823,0.031454927029284305
0.99999,0.02972,0.03191884401382475
1.02272,0.02953,0.03238045188585344
1.04545,0.03006,0.03283982244320677
1.06819,0.03117,0.03329741941324832
1.09091,0.03096,0.033752890339465776
1.11363,0.03153,0.03420687616010039
1.13636,0.03208,0.034659802204260334
1.15909,0.03238,0.03511168426931752
1.18182,0.03336,0.035562728217528414
1.20455,0.03383,0.03601313042998966
1.22728,0.03416,0.036463078348998666
1.25,0.03451,0.03691255318713265
