Model,AIC,R_Squared,C10,C01,C20,µ1,µ2,µ3,α1,α2,α3,µ
Mooney Rivlin,-6400.582077910554,0.9992776184287419,0.012943522917160041,-0.012943478665607397,4.9741891455033154e-05,,,,,,,
Ogden,-8280.603225804842,0.9999502332948397,,,,0.04384445539518526,0.014119648408515453,0.00220244614127129,0.4404430543976389,1.1395766429432508,3.259667792831921,
Neo Hookean,-2555.4546664421573,0.8302115235868228,,,,,,,,,,0.057974522021558776
