True Strain,True Stress (MPa)
0.06574,0.005519612809401717
0.08695,0.007387222099777996
0.10761,0.009251329751134388
0.12783,0.011121125200289173
0.14763,0.012997978206640831
0.16705,0.01488525325469488
0.1861,0.016783530270908027
0.20479,0.018693353069080182
0.22314,0.02061629855905489
0.24116,0.02255294345878556
0.25886,0.02450385589363857
0.27625,0.02646960278503854
0.29335,0.028451931056992865
0.31015,0.03044910881779522
0.32668,0.032464121513044536
0.34294,0.034496430574705625
0.35894,0.03654670524036787
0.37469,0.03861565530493971
0.3902,0.040704037744429294
0.40547,0.042811266273702825
0.4205,0.04493667694436323
0.43532,0.04708392778511794
0.44991,0.04924951667120683
0.4643,0.05143727747972663
0.47849,0.053646687329240474
0.49248,0.0558771607928177
0.50627,0.058128049807929315
0.51988,0.06040202430692612
0.5333,0.06269681785593245
0.54654,0.06501348806422019
0.55961,0.06735319616835861
0.57252,0.06971721308448531
0.58526,0.07210313778054564
0.59784,0.07451222337260763
0.61026,0.07694386384240531
0.62253,0.07939942778079691
0.63465,0.08187834482996696
0.64663,0.08438211194107444
0.65846,0.0869080467972482
0.67016,0.08945985330760593
0.68172,0.09203481096837456
0.69314,0.09463226979853293
0.70444,0.09725623002858313
0.71562,0.0999062484600228
0.72667,0.10257940294459805
0.7376,0.1052775242228197
0.74841,0.10800006150284473
0.7591,0.11074642854014999
0.76969,0.11352129571808664
0.78016,0.11631892159639005
0.79052,0.11914136731201272
0.80078,0.12199087106528364
0.81093,0.12486413829111584
0.82098,0.12776345229584993
0.83093,0.1306883165643001
0.84078,0.13363820546366942
0.85054,0.1366156429687288
0.8602,0.13961707957370537
0.86977,0.14264509636561498
0.87925,0.14569922579808434
0.88864,0.14877897430077672
0.89794,0.15188382220815774
0.90716,0.15501665144440616
0.91629,0.1581735825444116
0.92534,0.16135756756524003
0.93431,0.16456816749903094
0.9432,0.16780492036474254
0.95201,0.17106734113895603
0.96074,0.17435492170278336
0.9694,0.17767099186497165
0.97798,0.18101126443995072
0.98649,0.18437915343210975
0.99493,0.18777425549062968
1.0033,0.19119614731786178
1.0116,0.19464438560174493
1.01983,0.19811850696040834
1.028,0.20162235046965785
1.03609,0.20514683550209423
1.04412,0.20870015269069508
1.05209,0.2122819659056076
1.06,0.2158919221635419
1.06784,0.219524982172523
1.07562,0.22318528621010808
1.08335,0.22687724062328718
1.09101,0.23059087074091136
1.09861,0.23433047708745117
1.10616,0.23810063292593348
1.11365,0.24189598142697627
1.12109,0.24572121149591375
1.12847,0.24957078730352475
1.13579,0.25344418606295627
1.14306,0.257346273230632
1.15028,0.26127672145043024
1.15745,0.2652351893412668
1.16457,0.26922132144306665
1.17164,0.2732347481687882
1.17865,0.27726929073489226
1.18562,0.28133606163408564
1.19254,0.2854289327014785
1.19942,0.28955351296243304
1.20624,0.29369737198778806
1.21302,0.29787220809061726
1.21976,0.30207779908860316
1.22644,0.30630118373743476
1.23309,0.3105609592214233
1.23969,0.3148440558699808
1.24625,0.31915656792866903
1.25276,0.32349151288244904
1.25923,0.32785512870009453
1.26567,0.33225398424272584
1.27205,0.3366671419917839
1.2784,0.34111489597786354
1.28472,0.3455971701227717
1.29098,0.3500922054907831
1.29721,0.3546210498726797
1.30341,0.3591835982697689
1.30956,0.3637647492111824
1.31568,0.36837900670462953
1.32176,0.3730185617406857
1.3278,0.37768299780834463
1.3338,0.3823718869847557
1.33977,0.3870927441603463
1.34571,0.39184539951144337
1.35161,0.3966215327460844
1.35747,0.4014206732050206
1.36331,0.40625900384031993
1.3691,0.41111132090861335
1.37487,0.41600240809888267
1.3806,0.4209150881632268
1.38629,0.42584883746692886
1.39196,0.4308207567592715
1.39759,0.43581305806998333
1.4032,0.4408432183562644
1.40877,0.4458930377889096
1.41431,0.4509711574673355
1.41982,0.4560772932458246
1.4253,0.46121115256983847
1.43075,0.46637243445600657
1.43617,0.47156082947439176
1.44156,0.4767760197330694
1.44692,0.48201767886505226
1.45225,0.48728547201758793
1.45756,0.49258909636449744
1.46283,0.4979082244067266
1.46808,0.5032626834524003
1.47331,0.508652424480846
1.4785,0.5140564610769484
1.48367,0.5194952348252604
1.48881,0.5249579954364049
1.49392,0.5304443429061085
1.49901,0.5359647690504811
1.50408,0.5415191866605958
1.50912,0.547096382060557
1.51413,0.552695923888807
1.51911,0.5583173722422266
1.52408,0.5639831909417716
1.52902,0.5696704613978915
1.53393,0.5753787207746708
1.53882,0.5811192940919025
1.54369,0.586892044633549
1.54853,0.5926848041484638
1.55335,0.5985092199600625
1.55814,0.6043528794957984
1.56292,0.6102400217268823
1.56767,0.6161458474228313
1.5724,0.622082441845419
1.5771,0.628036898453086
1.58179,0.6340343713639203
1.58645,0.6400490945547335
1.59109,0.6460936001037748
1.59571,0.6521676861673014
1.60031,0.6582711453875197
1.60488,0.664390313964885
1.60944,0.6705517527961223
1.61397,0.6767282126833827
1.61849,0.6829467328059566
1.62298,0.6891795611021547
1.62746,0.6954542195909609
1.63191,0.7017424487282242
1.63634,0.708057938636663
1.64076,0.7144148754312346
1.64516,0.7207988025305959
1.64953,0.7271947511435143
1.65389,0.7336317184492762
1.65823,0.7400948518790369
1.66255,0.7465838655701527
1.66685,0.7530984679956518
1.67113,0.759638361962601
1.6754,0.7662187207058726
1.67964,0.7728084146616014
1.68387,0.7794382142783162
1.68808,0.7860923250788653
1.69227,0.7927704229970041
1.69645,0.7994883166037807
1.70061,0.8062298002632401
1.70475,0.8129945342949854
1.70887,0.819782173332987
1.71298,0.8266090446215998
1.71707,0.8334583856059763
1.72114,0.8403298352551912
1.7252,0.8472401159935734
1.72924,0.8541720420959948
1.73326,0.8611252368374748
1.73727,0.8681168227569201
1.74126,0.8751291859037025
1.74524,0.8821797188977222
1.7492,0.8892505199793278
1.75314,0.8963411866605314
1.75707,0.9034695199932405
1.76099,0.9106355334629717
1.76489,0.9178207428991095
1.76877,0.9250247256572353
1.77264,0.9322658364157532
1.77649,0.9395251473431534
1.78033,0.946821293102383
1.78415,0.9541350479528908
1.78796,0.9614853287345703
1.79176,0.968872122020273
1.79554,0.9762757516702767
1.79931,0.9837155630157762
1.80306,0.9911715761287588
1.8068,0.9986634242397829
1.81052,1.0061708215099299
1.81423,1.0137136911567217
1.81793,1.0212919966870733
1.82161,1.0288849900633967
1.82528,1.036513034474454
1.82894,1.0441760839958738
1.83258,1.0518529231872127
1.83621,1.0595643602927258
1.83983,1.0673103398669481
1.84343,1.0750691739821043
1.84702,1.0828621209267972
1.8506,1.0906891156549676
1.85416,1.0985279927931306
1.85772,1.1064227203562311
1.86126,1.1143288717144861
1.86478,1.1222458965643822
1.8683,1.1302186976588926
1.8718,1.138201891024064
1.87529,1.1462179604343594
1.87877,1.1542668162450616
1.88224,1.1623483661957386
1.88569,1.1704389833142645
1.88913,1.1785617776195902
1.89256,1.1867166469981376
1.89598,1.19490348668717
1.89939,1.2031221892650852
1.90279,1.2113726446419084
1.90617,1.2196302266249037
1.90954,1.2279190019493227
1.9129,1.2362388505829593
1.91625,1.2445896497990518
1.91959,1.2529712741680759
1.92292,1.261383595549754
1.92624,1.269826483085282
1.92954,1.2782741196603096
1.93284,1.2867775663329053
1.93612,1.2952851466108828
1.9394,1.303848593765178
1.94266,1.3124155457157107
1.94591,1.32101187634535
1.94915,1.32963743380162
1.95238,1.3382920634719095
1.9556,1.3469756079780346
1.95881,1.3556879071710486
1.96201,1.3644287981262915
1.9652,1.3731981151386827
