Strain,Experimental_Stress,Model_Stress
0.06574,0.00159510252,0.005519612809401717
0.08695,0.00373708299,0.007387222099777996
0.10761,0.00425609885,0.009251329751134388
0.12783,0.00548715153,0.011121125200289173
0.14763,0.00719867429,0.012997978206640831
0.16705,0.00806046794,0.01488525325469488
0.1861,0.00905619565,0.016783530270908027
0.20479,0.00963664246,0.018693353069080182
0.22314,0.01069921669,0.02061629855905489
0.24116,0.01267747105,0.02255294345878556
0.25886,0.01390420053,0.02450385589363857
0.27625,0.01471228108,0.02646960278503854
0.29335,0.01631286046,0.028451931056992865
0.31015,0.01683631171,0.03044910881779522
0.32668,0.01792636027,0.032464121513044536
0.34294,0.01947541624,0.034496430574705625
0.35894,0.02118816368,0.03654670524036787
0.37469,0.02217395929,0.03861565530493971
0.3902,0.02342571942,0.040704037744429294
0.40547,0.02534049542,0.042811266273702825
0.4205,0.02540714119,0.04493667694436323
0.43532,0.02769224443,0.04708392778511794
0.44991,0.02959646245,0.04924951667120683
0.4643,0.03036411204,0.05143727747972663
0.47849,0.03208786586,0.053646687329240474
0.49248,0.03316823562,0.0558771607928177
0.50627,0.03405036006,0.058128049807929315
0.51988,0.03615228304,0.06040202430692612
0.5333,0.03715101311,0.06269681785593245
0.54654,0.0396068815,0.06501348806422019
0.55961,0.04004692485,0.06735319616835861
0.57252,0.04310488549,0.06971721308448531
0.58526,0.04375761611,0.07210313778054564
0.59784,0.04516320353,0.07451222337260763
0.61026,0.04636370009,0.07694386384240531
0.62253,0.04838562741,0.07939942778079691
0.63465,0.05035636325,0.08187834482996696
0.64663,0.05133923669,0.08438211194107444
0.65846,0.05322431353,0.0869080467972482
0.67016,0.05506096501,0.08945985330760593
0.68172,0.05582765268,0.09203481096837456
0.69314,0.05943604995,0.09463226979853293
0.70444,0.05973634703,0.09725623002858313
0.71562,0.06148747941,0.0999062484600228
0.72667,0.06447508847,0.10257940294459805
0.7376,0.06473564872,0.1052775242228197
0.74841,0.06664103846,0.10800006150284473
0.7591,0.06854256532,0.11074642854014999
0.76969,0.06991573844,0.11352129571808664
0.78016,0.07278384115,0.11631892159639005
0.79052,0.07458890876,0.11914136731201272
0.80078,0.07608565247,0.12199087106528364
0.81093,0.0776402252,0.12486413829111584
0.82098,0.07960582565,0.12776345229584993
0.83093,0.08057279453,0.1306883165643001
0.84078,0.08426222714,0.13363820546366942
0.85054,0.08656071984,0.1366156429687288
0.8602,0.08773057765,0.13961707957370537
0.86977,0.0899101566,0.14264509636561498
0.87925,0.09287090832,0.14569922579808434
0.88864,0.09388938002,0.14877897430077672
0.89794,0.09719773808,0.15188382220815774
0.90716,0.09919470579,0.15501665144440616
0.91629,0.10018871922,0.1581735825444116
0.92534,0.10244723057,0.16135756756524003
0.93431,0.10561205288,0.16456816749903094
0.9432,0.10736393441,0.16780492036474254
0.95201,0.11064446908,0.17106734113895603
0.96074,0.11322889249,0.17435492170278336
0.9694,0.11419923352,0.17767099186497165
0.97798,0.11739384146,0.18101126443995072
0.98649,0.11832940195,0.18437915343210975
0.99493,0.1229353712,0.18777425549062968
1.0033,0.12430134443,0.19119614731786178
1.0116,0.12831032516,0.19464438560174493
1.01983,0.13047957856,0.19811850696040834
1.028,0.13080012175,0.20162235046965785
1.03609,0.13519295494,0.20514683550209423
1.04412,0.13837482687,0.20870015269069508
1.05209,0.14048024099,0.2122819659056076
1.06,0.14336487794,0.2158919221635419
1.06784,0.14757598036,0.219524982172523
1.07562,0.14967115981,0.22318528621010808
1.08335,0.1513748099,0.22687724062328718
1.09101,0.15454253178,0.23059087074091136
1.09861,0.15716754501,0.23433047708745117
1.10616,0.1605565789,0.23810063292593348
1.11365,0.16309306371,0.24189598142697627
1.12109,0.1663080667,0.24572121149591375
1.12847,0.16868588221,0.24957078730352475
1.13579,0.17397419675,0.25344418606295627
1.14306,0.17544607109,0.257346273230632
1.15028,0.18007544115,0.26127672145043024
1.15745,0.18251337222,0.2652351893412668
1.16457,0.18507197722,0.26922132144306665
1.17164,0.18844735987,0.2732347481687882
1.17865,0.19253576249,0.27726929073489226
1.18562,0.19455200444,0.28133606163408564
1.19254,0.19770577668,0.2854289327014785
1.19942,0.20244422272,0.28955351296243304
1.20624,0.20567975216,0.29369737198778806
1.21302,0.20914668042,0.29787220809061726
1.21976,0.21139213588,0.30207779908860316
1.22644,0.21471360063,0.30630118373743476
1.23309,0.21983118821,0.3105609592214233
1.23969,0.22296055162,0.3148440558699808
1.24625,0.22643026472,0.31915656792866903
1.25276,0.23073775477,0.32349151288244904
1.25923,0.23474888464,0.32785512870009453
1.26567,0.23771763844,0.33225398424272584
1.27205,0.24170528004,0.3366671419917839
1.2784,0.24478181177,0.34111489597786354
1.28472,0.24895960785,0.3455971701227717
1.29098,0.25247276062,0.3500922054907831
1.29721,0.25659163911,0.3546210498726797
1.30341,0.26001659377,0.3591835982697689
1.30956,0.26525421501,0.3637647492111824
1.31568,0.26959894836,0.36837900670462953
1.32176,0.27372147818,0.3730185617406857
1.3278,0.27741406759,0.37768299780834463
1.3338,0.28259241962,0.3823718869847557
1.33977,0.28677058291,0.3870927441603463
1.34571,0.29070908767,0.39184539951144337
1.35161,0.29473385139,0.3966215327460844
1.35747,0.29953392724,0.4014206732050206
1.36331,0.30480133432,0.40625900384031993
1.3691,0.30713295181,0.41111132090861335
1.37487,0.31051887094,0.41600240809888267
1.3806,0.31468087582,0.4209150881632268
1.38629,0.32060481696,0.42584883746692886
1.39196,0.32845353878,0.4308207567592715
1.39759,0.3319747208,0.43581305806998333
1.4032,0.33535858969,0.4408432183562644
1.40877,0.34016193443,0.4458930377889096
1.41431,0.34645411664,0.4509711574673355
1.41982,0.35062269433,0.4560772932458246
1.4253,0.35596909476,0.46121115256983847
1.43075,0.36034878773,0.46637243445600657
1.43617,0.36771885465,0.47156082947439176
1.44156,0.36903067291,0.4767760197330694
1.44692,0.37456628551,0.48201767886505226
1.45225,0.38097655744,0.48728547201758793
1.45756,0.3867069594,0.49258909636449744
1.46283,0.39253953368,0.4979082244067266
1.46808,0.39727477103,0.5032626834524003
1.47331,0.40093717042,0.508652424480846
1.4785,0.40638433253,0.5140564610769484
1.48367,0.41396007317,0.5194952348252604
1.48881,0.41616011154,0.5249579954364049
1.49392,0.4256318417,0.5304443429061085
1.49901,0.43035066339,0.5359647690504811
1.50408,0.43406711816,0.5415191866605958
1.50912,0.44061714481,0.547096382060557
1.51413,0.44509513135,0.552695923888807
1.51911,0.45587390438,0.5583173722422266
1.52408,0.46035082648,0.5639831909417716
1.52902,0.4661382365,0.5696704613978915
1.53393,0.46953487178,0.5753787207746708
1.53882,0.47536290993,0.5811192940919025
1.54369,0.48213141287,0.586892044633549
1.54853,0.48997123827,0.5926848041484638
1.55335,0.49522300618,0.5985092199600625
1.55814,0.50389303867,0.6043528794957984
1.56292,0.50670961179,0.6102400217268823
1.56767,0.51328472917,0.6161458474228313
1.5724,0.51851977645,0.622082441845419
1.5771,0.52789872299,0.628036898453086
1.58179,0.53106507314,0.6340343713639203
1.58645,0.54014870142,0.6400490945547335
1.59109,0.54509359112,0.6460936001037748
1.59571,0.5534203912,0.6521676861673014
1.60031,0.55838521647,0.6582711453875197
1.60488,0.5671444127,0.664390313964885
1.60944,0.5737752233,0.6705517527961223
1.61397,0.58084158566,0.6767282126833827
1.61849,0.58799978843,0.6829467328059566
1.62298,0.59514357093,0.6891795611021547
1.62746,0.59935596796,0.6954542195909609
1.63191,0.61071549205,0.7017424487282242
1.63634,0.61601247555,0.708057938636663
1.64076,0.62699672084,0.7144148754312346
1.64516,0.63185832597,0.7207988025305959
1.64953,0.63729559062,0.7271947511435143
1.65389,0.64444485683,0.7336317184492762
1.65823,0.651355811,0.7400948518790369
1.66255,0.66156261948,0.7465838655701527
1.66685,0.66822306883,0.7530984679956518
1.67113,0.67856706702,0.759638361962601
1.6754,0.68566906885,0.7662187207058726
1.67964,0.69280964356,0.7728084146616014
1.68387,0.70002084689,0.7794382142783162
1.68808,0.70906558087,0.7860923250788653
1.69227,0.71712112248,0.7927704229970041
1.69645,0.72482435408,0.7994883166037807
1.70061,0.73277132276,0.8062298002632401
1.70475,0.73780907009,0.8129945342949854
1.70887,0.75074721565,0.819782173332987
1.71298,0.75825515534,0.8266090446215998
1.71707,0.76610357711,0.8334583856059763
1.72114,0.77487301349,0.8403298352551912
1.7252,0.78339659666,0.8472401159935734
1.72924,0.79171316701,0.8541720420959948
1.73326,0.802491924,0.8611252368374748
1.73727,0.81023078212,0.8681168227569201
1.74126,0.81842518677,0.8751291859037025
1.74524,0.82963473882,0.8821797188977222
1.7492,0.8369340845,0.8892505199793278
1.75314,0.84592693517,0.8963411866605314
1.75707,0.85344221792,0.9034695199932405
1.76099,0.86326380344,0.9106355334629717
1.76489,0.87364088917,0.9178207428991095
1.76877,0.88396491016,0.9250247256572353
1.77264,0.89377066215,0.9322658364157532
1.77649,0.90247034599,0.9395251473431534
1.78033,0.91224897755,0.946821293102383
1.78415,0.9196508491,0.9541350479528908
1.78796,0.93042572552,0.9614853287345703
1.79176,0.94005933093,0.968872122020273
1.79554,0.94899115855,0.9762757516702767
1.79931,0.96073980524,0.9837155630157762
1.80306,0.96965812087,0.9911715761287588
1.8068,0.9813907907,0.9986634242397829
1.81052,0.99192031104,1.0061708215099299
1.81423,1.00230812064,1.0137136911567217
1.81793,1.01295995914,1.0212919966870733
1.82161,1.02374857634,1.0288849900633967
1.82528,1.02990953429,1.036513034474454
1.82894,1.04311845762,1.0441760839958738
1.83258,1.05287481303,1.0518529231872127
1.83621,1.06672032257,1.0595643602927258
1.83983,1.07556281361,1.0673103398669481
1.84343,1.08748822495,1.0750691739821043
1.84702,1.09455575249,1.0828621209267972
1.8506,1.10751124369,1.0906891156549676
1.85416,1.11698235562,1.0985279927931306
1.85772,1.129716488,1.1064227203562311
1.86126,1.14327468133,1.1143288717144861
1.86478,1.15194542161,1.1222458965643822
1.8683,1.16308161555,1.1302186976588926
1.8718,1.17563473678,1.138201891024064
1.87529,1.18770776834,1.1462179604343594
1.87877,1.19999916955,1.1542668162450616
1.88224,1.21416487086,1.1623483661957386
1.88569,1.22403980774,1.1704389833142645
1.88913,1.23597414165,1.1785617776195902
1.89256,1.24381015539,1.1867166469981376
1.89598,1.25833110846,1.19490348668717
1.89939,1.27115521651,1.2031221892650852
1.90279,1.2828040512,1.2113726446419084
1.90617,1.29704741528,1.2196302266249037
1.90954,1.31259048165,1.2279190019493227
1.9129,1.31986737008,1.2362388505829593
1.91625,1.33330086067,1.2445896497990518
1.91959,1.34648794383,1.2529712741680759
1.92292,1.3599087598,1.261383595549754
1.92624,1.37445302133,1.269826483085282
1.92954,1.38382918044,1.2782741196603096
1.93284,1.39805697378,1.2867775663329053
1.93612,1.41075036957,1.2952851466108828
1.9394,1.42188802436,1.303848593765178
1.94266,1.4399742,1.3124155457157107
1.94591,1.45093282315,1.32101187634535
1.94915,1.46932080499,1.32963743380162
1.95238,1.48003077781,1.3382920634719095
1.9556,1.49048825583,1.3469756079780346
1.95881,1.50761435371,1.3556879071710486
1.96201,1.52205001504,1.3644287981262915
1.9652,1.53471982171,1.3731981151386827
1.96838,1.54776316428,1.3819956897182675
1.97155,1.56558343134,1.3908213505860108
1.97471,1.57502224435,1.3996749236698407
1.97786,1.59150285094,1.4085562321009477
1.981,1.60820871954,1.4174650962103434
1.98413,1.62038495557,1.4264013335256704
1.98725,1.63568177104,1.4353647587682812
1.99036,1.6509913568,1.4443551838505708
1.99346,1.66919467492,1.4533724178735792
1.99655,1.67862017372,1.4624162671248582
1.99964,1.69365955593,1.4715160749197094
2.00271,1.71361046749,1.4715160749197094
2.00577,1.7256102848,1.4715160749197094
2.00882,1.74485905802,1.4715160749197094
2.01187,1.75758886549,1.4715160749197094
2.0149,1.76863187442,1.4715160749197094
2.01793,1.78920334544,1.4715160749197094
2.02095,1.80501487879,1.4715160749197094
2.02395,1.82294473626,1.4715160749197094
2.02695,1.83865341942,1.4715160749197094
2.02994,1.85451095972,1.4715160749197094
2.03292,1.86816142699,1.4715160749197094
2.03589,1.88692456713,1.4715160749197094
2.03886,1.9051659787,1.4715160749197094
2.04181,1.91996471686,1.4715160749197094
2.04476,1.93929563045,1.4715160749197094
2.04769,1.95719114551,1.4715160749197094
2.05062,1.96947760209,1.4715160749197094
2.05354,1.98779038788,1.4715160749197094
2.05645,2.00281783965,1.4715160749197094
2.05935,2.02173107992,1.4715160749197094
2.06225,2.04501922059,1.4715160749197094
2.06514,2.05945362284,1.4715160749197094
2.06801,2.07385648186,1.4715160749197094
2.07088,2.09347654184,1.4715160749197094
2.07374,2.11159524099,1.4715160749197094
2.0766,2.12826728097,1.4715160749197094
2.07944,2.14665579448,1.4715160749197094
2.08228,2.16741665928,1.4715160749197094
2.08511,2.18021587282,1.4715160749197094
2.08793,2.20430464728,1.4715160749197094
2.09074,2.22029298077,1.4715160749197094
2.09355,2.24022418109,1.4715160749197094
2.09634,2.26225310267,1.4715160749197094
2.09913,2.28272042349,1.4715160749197094
2.10191,2.29612205144,1.4715160749197094
2.10469,2.31433545999,1.4715160749197094
2.10745,2.33294540214,1.4715160749197094
2.11021,2.35481738669,1.4715160749197094
2.11296,2.37463821832,1.4715160749197094
2.11571,2.39689587034,1.4715160749197094
2.11844,2.4169515345,1.4715160749197094
2.12117,2.43156120591,1.4715160749197094
2.12389,2.45505144207,1.4715160749197094
2.12661,2.47491220447,1.4715160749197094
2.12931,2.49161320625,1.4715160749197094
2.13201,2.51812247667,1.4715160749197094
2.1347,2.5376082636,1.4715160749197094
2.13739,2.55529097152,1.4715160749197094
2.14007,2.57483977943,1.4715160749197094
2.14274,2.59739793384,1.4715160749197094
2.1454,2.61659791339,1.4715160749197094
2.14806,2.63861277548,1.4715160749197094
2.15071,2.66356369958,1.4715160749197094
2.15335,2.68495331059,1.4715160749197094
2.15598,2.70152821069,1.4715160749197094
2.15861,2.72341398787,1.4715160749197094
2.16123,2.74764748588,1.4715160749197094
2.16385,2.77284434187,1.4715160749197094
2.16645,2.79416794062,1.4715160749197094
2.16905,2.81835183472,1.4715160749197094
2.17165,2.83511333251,1.4715160749197094
2.17423,2.86055316163,1.4715160749197094
2.17682,2.88117096107,1.4715160749197094
2.17939,2.90414890949,1.4715160749197094
2.18196,2.92886790785,1.4715160749197094
2.18452,2.94783823166,1.4715160749197094
2.18707,2.97199006634,1.4715160749197094
2.18962,2.99984908577,1.4715160749197094
2.19216,3.01816081615,1.4715160749197094
2.1947,3.04567312183,1.4715160749197094
2.19722,3.06712127963,1.4715160749197094
2.19975,3.09446060035,1.4715160749197094
2.20226,3.11681277917,1.4715160749197094
2.20477,3.141598678,1.4715160749197094
2.20727,3.16178687998,1.4715160749197094
2.20977,3.19112198268,1.4715160749197094
2.21226,3.21422224846,1.4715160749197094
2.21475,3.23881689854,1.4715160749197094
2.21723,3.25863906637,1.4715160749197094
2.2197,3.28583650921,1.4715160749197094
2.22216,3.31302155407,1.4715160749197094
2.22462,3.34069294638,1.4715160749197094
2.22708,3.37045103895,1.4715160749197094
2.22953,3.39393615632,1.4715160749197094
2.23197,3.41444463466,1.4715160749197094
2.2344,3.44446257605,1.4715160749197094
2.23683,3.47179032536,1.4715160749197094
2.23926,3.49951741945,1.4715160749197094
2.24168,3.52441502559,1.4715160749197094
2.24409,3.54629465703,1.4715160749197094
2.2465,3.57715371026,1.4715160749197094
2.2489,3.59773869712,1.4715160749197094
2.25129,3.62541888613,1.4715160749197094
2.25368,3.65498260493,1.4715160749197094
2.25606,3.68470251901,1.4715160749197094
