Strain,Experimental_Stress,Model_Stress
0.06574,0.00159510252,0.0004233900959128959
0.08695,0.00373708299,0.0007416619905972878
0.10761,0.00425609885,0.001137885418283739
0.12783,0.00548715153,0.0016088615205774163
0.14763,0.00719867429,0.0021507340800425143
0.16705,0.00806046794,0.00276078469042562
0.1861,0.00905619565,0.003435931826237044
0.20479,0.00963664246,0.004173346441839198
0.22314,0.01069921669,0.004970887588660908
0.24116,0.01267747105,0.0058262966754977046
0.25886,0.01390420053,0.006737518093530622
0.27625,0.01471228108,0.007702687465149054
0.29335,0.01631286046,0.008720737298403143
0.31015,0.01683631171,0.009788966704790647
0.32668,0.01792636027,0.010907303684417015
0.34294,0.01947541624,0.012073949357974088
0.35894,0.02118816368,0.013287876356943716
0.37469,0.02217395929,0.014548209718154898
0.3902,0.02342571942,0.015854224340975016
0.40547,0.02534049542,0.017204437798135533
0.4205,0.02540714119,0.01859734396537398
0.43532,0.02769224443,0.020034382763910962
0.44991,0.02959646245,0.021512310421028046
0.4643,0.03036411204,0.02303289760882439
0.47849,0.03208786586,0.024595042073944026
0.49248,0.03316823562,0.026197610527417387
0.50627,0.03405036006,0.02783943609830253
0.51988,0.03615228304,0.02952183425596214
0.5333,0.03715101311,0.03124253630732821
0.54654,0.0396068815,0.033001756563439046
0.55961,0.04004692485,0.03479985937919326
0.57252,0.04310488549,0.036637362575506566
0.58526,0.04375761611,0.038511949788360526
0.59784,0.04516320353,0.04042416375543257
0.61026,0.04636370009,0.04237311191355435
0.62253,0.04838562741,0.04435950868216987
0.63465,0.05035636325,0.04638253792666327
0.64663,0.05133923669,0.0484430932529315
0.65846,0.05322431353,0.05053864342817354
0.67016,0.05506096501,0.05267196254486499
0.68172,0.05582765268,0.05484050140554455
0.69314,0.05943604995,0.057043420420825684
0.70444,0.05973634703,0.05928386279538619
0.71562,0.06148747941,0.061561242142572754
0.72667,0.06447508847,0.06387282137346595
0.7376,0.06473564872,0.06621995933480314
0.74841,0.06664103846,0.06860197278198626
0.7591,0.06854256532,0.07101814566239899
0.76969,0.06991573844,0.07347242147770901
0.78016,0.07278384115,0.07595955702971185
0.79052,0.07458890876,0.07848120201194439
0.80078,0.07608565247,0.08103920925413666
0.81093,0.0776402252,0.083630474267663
0.82098,0.07960582565,0.08625690924858474
0.83093,0.08057279453,0.08891793435595215
0.84078,0.08426222714,0.09161294092407768
0.85054,0.08656071984,0.09434412086792558
0.8602,0.08773057765,0.09710810360477928
0.86977,0.0899101566,0.0999071507933362
0.87925,0.09287090832,0.10274073067825783
0.88864,0.09388938002,0.10560828496495916
0.89794,0.09719773808,0.10850922856190023
0.90716,0.09919470579,0.11144616804498947
0.91629,0.10018871922,0.11441537940003901
0.92534,0.10244723057,0.11741955109987114
0.93431,0.10561205288,0.12045819544305646
0.9432,0.10736393441,0.12353080064610307
0.95201,0.11064446908,0.12663683064047368
0.96074,0.11322889249,0.12977572489189088
0.9694,0.11419923352,0.13295059992313898
0.97798,0.11739384146,0.13615728717386286
0.98649,0.11832940195,0.1393989991013423
0.99493,0.1229353712,0.14267529612457008
1.0033,0.12430134443,0.14598571725066956
1.0116,0.12831032516,0.1493297799134032
1.01983,0.13047957856,0.152706979828026
1.028,0.13080012175,0.15612100744566196
1.03609,0.13519295494,0.1595629576092316
1.04412,0.13837482687,0.16304077074914328
1.05209,0.14048024099,0.1665540867782103
1.06,0.14336487794,0.17010252722889235
1.06784,0.14757598036,0.17368109107251678
1.07562,0.14967115981,0.17729380771450687
1.08335,0.1513748099,0.18094500429396443
1.09101,0.15454253178,0.18462477914079628
1.09861,0.15716754501,0.188337341469707
1.10616,0.1605565789,0.1920872058034798
1.11365,0.16309306371,0.19586901728776215
1.12109,0.1663080667,0.1996874202045631
1.12847,0.16868588221,0.20353685950581038
1.13579,0.17397419675,0.20741676860507763
1.14306,0.17544607109,0.21133198971017603
1.15028,0.18007544115,0.21528217528292637
1.15745,0.18251337222,0.21926696210128924
1.16457,0.18507197722,0.22328597116464288
1.17164,0.18844735987,0.2273388076067367
1.17865,0.19253576249,0.23141919531864813
1.18562,0.19455200444,0.23553834865594747
1.19254,0.19770577668,0.239690048184075
1.19942,0.20244422272,0.24387997032593997
1.20624,0.20567975216,0.24809546027152815
1.21302,0.20914668042,0.2523483901731259
1.21976,0.21139213588,0.2566385303438506
1.22644,0.21471360063,0.2609526285966792
1.23309,0.21983118821,0.26530966330646855
1.23969,0.22296055162,0.26969625996922286
1.24625,0.22643026472,0.27411863997251623
1.25276,0.23073775477,0.278569621756462
1.25923,0.23474888464,0.2830555882168492
1.26567,0.23771763844,0.28758329505242586
1.27205,0.24170528004,0.2921311675950217
1.2784,0.24478181177,0.2967200947544614
1.28472,0.24895960785,0.30135001059123917
1.29098,0.25247276062,0.3059984131079495
1.29721,0.25659163911,0.31068704112578854
1.30341,0.26001659377,0.3154157957430249
1.30956,0.26525421501,0.32016900919472835
1.31568,0.26959894836,0.32496171334299767
1.32176,0.27372147818,0.32978579190964036
1.3278,0.27741406759,0.33464079327720375
1.3338,0.28259241962,0.33952625265398456
1.33977,0.28677058291,0.34444999226605494
1.34571,0.29070908767,0.3494118389819825
1.35161,0.29473385139,0.3544030971492511
1.35747,0.29953392724,0.3594232526302034
1.36331,0.30480133432,0.3644892354112198
1.3691,0.30713295181,0.3695746444452671
1.37487,0.31051887094,0.3747054419843662
1.3806,0.31468087582,0.3798636084092545
1.38629,0.32060481696,0.38504856818033323
1.39196,0.32845353878,0.3902782908564217
1.39759,0.3319747208,0.3955340634707427
1.4032,0.33535858969,0.40083428217499684
1.40877,0.34016193443,0.40615976612138377
1.41431,0.34645411664,0.4115196114391518
1.41982,0.35062269433,0.4169135130033963
1.4253,0.35596909476,0.42234115593561605
1.43075,0.36034878773,0.42780221557265957
1.43617,0.36771885465,0.4332963574384323
1.44156,0.36903067291,0.4388232372184025
1.44692,0.37456628551,0.4443825007369471
1.45225,0.38097655744,0.44997378393756626
1.45756,0.3867069594,0.4556073820893245
1.46283,0.39253953368,0.4612616929074433
1.46808,0.39727477103,0.46695778253952097
1.47331,0.40093717042,0.47269561171616287
1.4785,0.40638433253,0.4784528269761088
1.48367,0.41396007317,0.48425119369489733
1.48881,0.41616011154,0.49007924998270597
1.49392,0.4256318417,0.49593655578906476
1.49901,0.43035066339,0.501834310450701
1.50408,0.43406711816,0.5077724303695291
1.50912,0.44061714481,0.5137389244031058
1.51413,0.44509513135,0.5197333158377828
1.51911,0.45587390438,0.525755117931729
1.52408,0.46035082648,0.5318284018497885
1.52902,0.4661382365,0.5379286077755442
1.53393,0.46953487178,0.5440552221106737
1.53882,0.47536290993,0.5502203940655055
1.54369,0.48213141287,0.5564239823692724
1.54853,0.48997123827,0.5626529038882659
1.55335,0.49522300618,0.5689196757653111
1.55814,0.50389303867,0.5752109350239409
1.56292,0.50670961179,0.5815527809910118
1.56767,0.51328472917,0.5879185022889422
1.5724,0.51851977645,0.5943211164128599
1.5771,0.52789872299,0.6007466942807012
1.58179,0.53106507314,0.6072223822470487
1.58645,0.54014870142,0.6137203613485992
1.59109,0.54509359112,0.6202541600149185
1.59571,0.5534203912,0.6268235608039902
1.60031,0.55838521647,0.6334283398164724
1.60488,0.5671444127,0.6400536991622494
1.60944,0.5737752233,0.646728396485947
1.61397,0.58084158566,0.6534229117878042
1.61849,0.58799978843,0.6601665510140119
1.62298,0.59514357093,0.6669292169649914
1.62746,0.59935596796,0.673740769339893
1.63191,0.61071549205,0.6805705281913579
1.63634,0.61601247555,0.6874333482539874
1.64076,0.62699672084,0.6943446536584956
1.64516,0.63185832597,0.7012887353762279
1.64953,0.63729559062,0.7082492958109161
1.65389,0.64444485683,0.7152578878371544
1.65823,0.651355811,0.7222983470908976
1.66255,0.66156261948,0.7293703574325069
1.66685,0.66822306883,0.7364735960466148
1.67113,0.67856706702,0.7436077334376129
1.6754,0.68566906885,0.7507893274096794
1.67964,0.69280964356,0.7579843980407518
1.68387,0.70002084689,0.7652265362075931
1.68808,0.70906558087,0.7724984934660447
1.69227,0.71712112248,0.7797999086424676
1.69645,0.72482435408,0.7871480701104665
1.70061,0.73277132276,0.7945252557972575
1.70475,0.73780907009,0.8019310861147795
1.70887,0.75074721565,0.8093651747505534
1.71298,0.75825515534,0.8168454069938965
1.71707,0.76610357711,0.8243534187902194
1.72114,0.77487301349,0.8318888053279502
1.7252,0.78339659666,0.8394699069878837
1.72924,0.79171316701,0.8470778716215819
1.73326,0.802491924,0.8547122758663126
1.73727,0.81023078212,0.8623919211126347
1.74126,0.81842518677,0.8700974610255101
1.74524,0.82963473882,0.877848008339396
1.7492,0.8369340845,0.8856238844611873
1.75314,0.84592693517,0.8934246355524982
1.75707,0.85344221792,0.9012698453324354
1.76099,0.86326380344,0.9091595399112937
1.76489,0.87364088917,0.91707336799567
1.76877,0.88396491016,0.9250108518906424
1.77264,0.89377066215,0.9329922141484894
1.77649,0.90247034599,0.9409965906996465
1.78033,0.91224897755,0.9490445273257038
1.78415,0.9196508491,0.9571148155258209
1.78796,0.93042572552,0.9652283269434944
1.79176,0.94005933093,0.9733850560395954
1.79554,0.94899115855,0.9815632734112454
1.79931,0.96073980524,0.989784345760209
1.80306,0.96965812087,0.998026192179507
1.8068,0.9813907907,1.006310512095189
1.81052,0.99192031104,1.0146148705318432
1.81423,1.00230812064,1.0229613021524875
1.81793,1.01295995914,1.0313497742459472
1.82161,1.02374857634,1.0397573167141771
1.82528,1.02990953429,1.0482064730717406
1.82894,1.04311845762,1.0566971994901118
1.83258,1.05287481303,1.0652059844836563
1.83621,1.06672032257,1.0737558865218106
1.83983,1.07556281361,1.0823468505437592
1.84343,1.08748822495,1.0909548175497579
1.84702,1.09455575249,1.0996033669580543
1.8506,1.10751124369,1.108292432372915
1.85416,1.11698235562,1.1169974013000523
1.85772,1.129716488,1.1257671050873927
1.86126,1.14327468133,1.134552198501629
1.86478,1.15194542161,1.143352052318316
1.8683,1.16308161555,1.1522165812427703
1.8718,1.17563473678,1.1610953298826274
1.87529,1.18770776834,1.1700132973465156
1.87877,1.19999916955,1.1789703881763889
1.88224,1.21416487086,1.1879665038277087
1.88569,1.22403980774,1.1969753360811022
1.88913,1.23597414165,1.2060226101115226
1.89256,1.24381015539,1.215108215708881
1.89598,1.25833110846,1.224232039534001
1.89939,1.27115521651,1.2333939651064827
1.90279,1.2828040512,1.2425938727928068
1.90617,1.29704741528,1.251804293978412
1.90954,1.31259048165,1.2610520638044878
1.9129,1.31986737008,1.2703370508519227
1.91625,1.33330086067,1.279659120514558
1.91959,1.34648794383,1.289018134988843
1.92292,1.3599087598,1.2984139532637482
1.92624,1.37445302133,1.307846431110936
1.92954,1.38382918044,1.3172867157873716
1.93284,1.39805697378,1.3267918699393098
1.93612,1.41075036957,1.336304130965654
1.9394,1.42188802436,1.345881342768653
1.94266,1.4399742,1.3554649456091483
1.94591,1.45093282315,1.3650838735148074
1.94915,1.46932080499,1.3747379573613852
1.95238,1.48003077781,1.384427024752797
1.9556,1.49048825583,1.394150900014079
1.95881,1.50761435371,1.4039094041846423
1.96201,1.52205001504,1.4137023550118157
1.9652,1.53471982171,1.423529566944678
1.96838,1.54776316428,1.4333908511281912
1.97155,1.56558343134,1.4432860153976315
1.97471,1.57502224435,1.4532148642733191
1.97786,1.59150285094,1.4631771989556497
1.981,1.60820871954,1.473172817320439
