Engineering Strain,Engineering Stress (MPa)
0.06795,0.0040132519582508795
0.09084,0.005233567053474354
0.11362,0.006390755409142767
0.13636,0.007493369275064046
0.15909,0.008547049881733567
0.18181,0.00955551134679063
0.20455,0.010523391487628738
0.22727,0.011452035317367259
0.25,0.012345487294543328
0.27272,0.0132055223067493
0.29545,0.014035252740058133
0.31818,0.01483646197387393
0.34091,0.015611149664622622
0.36364,0.016361162009001146
0.38636,0.01708789085649047
0.40909,0.017793555618494602
0.43182,0.018479296439956466
0.45455,0.019146473048080866
0.47727,0.019796066778141733
0.5,0.020429824739664676
0.52273,0.021048552491374075
0.54545,0.021653008227711185
0.56818,0.022244677136909176
0.59091,0.02282418120331711
0.61364,0.023392353985101862
0.63637,0.023949976044976784
0.65909,0.024497540081168903
0.68182,0.02503621430433757
0.70454,0.025566168765419863
0.72727,0.02608847567237009
0.75,0.026603469972708016
0.77273,0.027111688369266345
0.79546,0.02761363661239577
0.81818,0.028109574597036224
0.84091,0.028600388913417367
0.86363,0.029086072534631534
0.88636,0.029567454834556306
0.90909,0.030044701268899666
0.93182,0.030518171836200488
0.95455,0.030988207580263404
0.97727,0.031454927029284305
0.99999,0.03191884401382475
1.02272,0.03238045188585344
1.04545,0.03283982244320677
1.06819,0.03329741941324832
1.09091,0.033752890339465776
1.11363,0.03420687616010039
1.13636,0.034659802204260334
1.15909,0.03511168426931752
1.18182,0.035562728217528414
1.20455,0.03601313042998966
1.22728,0.036463078348998666
1.25,0.03691255318713265
1.27272,0.037361923809751306
1.29545,0.037811551385685205
1.31818,0.03826139454985418
1.34091,0.038711603015105
1.36364,0.039162320137101275
1.38636,0.039613484515996805
1.40909,0.04006562489406291
1.43181,0.040518469553364106
1.45454,0.04097253819783407
1.47727,0.04142774797966646
1.5,0.04188421054704308
1.52273,0.04234203316909788
1.54545,0.04280111655682198
1.56818,0.04326196395201058
1.5909,0.04372426516267654
1.61364,0.04418872357499103
1.63637,0.04465481603485791
1.65909,0.045122625232298735
1.68182,0.045592645024288544
1.70454,0.04606454090775229
1.72727,0.04653880459007528
1.75,0.04701530249228688
1.77273,0.047494105717270974
1.79546,0.04797528292924133
1.81818,0.04845868715128138
1.84091,0.04894480800261817
1.86363,0.049433279674003267
1.88636,0.04992459208830159
1.90909,0.05041858882620609
1.93182,0.050915326035162516
1.95455,0.05141485808177801
1.97727,0.051917015973421646
2.0,0.05242229276041176
2.02272,0.05293029326948022
2.04545,0.05344151263108962
2.06818,0.05395577443218445
2.09091,0.05447312382007667
2.11364,0.054993604618666085
2.13636,0.05551702829727744
2.15909,0.05604389693564967
2.18182,0.056574021018691564
2.20454,0.057107204179187715
2.22727,0.057643953712518084
2.25,0.058184072589466715
2.27273,0.05872759672975626
2.29545,0.05927431969514437
2.31818,0.05982475677756521
2.34091,0.0603787012457144
2.36364,0.06093618538746903
2.38636,0.061496993041390044
2.40909,0.06206164853359189
2.43182,0.06262993572087347
2.45455,0.06320188376883054
2.47727,0.06377726706656582
2.5,0.06435661987214791
2.52272,0.06493945949807904
2.54545,0.06552632546740958
2.56818,0.06611698792830015
2.59091,0.06671147214051922
2.61364,0.06730980279001522
2.63637,0.06791200400858477
2.65909,0.06851783188312552
2.68181,0.0691275735465545
2.70455,0.0697417934989739
2.72727,0.0703594334019535
2.75,0.07098132781130886
2.77273,0.07160722692929558
2.79545,0.07223687347487057
2.81818,0.07287084202470126
2.8409,0.07350859464302084
2.86363,0.07415071223710484
2.88636,0.07479693413070476
2.90909,0.07544727908125323
2.93182,0.07610176548631475
2.95454,0.07676012070817523
2.97727,0.07742294198947762
3.0,0.07808995786113992
3.02273,0.07876118538929378
3.04546,0.07943664133217325
3.06818,0.08011604218117727
3.09091,0.08080000216447147
3.11364,0.08148823907387583
3.13636,0.0821804629030238
3.15909,0.0828772983496156
3.18182,0.08357845677736689
3.20455,0.08428395303092273
3.22727,0.08499348845737281
3.25,0.08570770200911257
3.27273,0.08642629648686562
3.29545,0.08714896676046976
3.31818,0.08787636267743358
3.34091,0.08860818061775327
3.36364,0.08934443386594607
3.38636,0.09008480865809931
3.40909,0.09082996962020255
3.43181,0.09157927378139924
3.45455,0.09233372601890143
3.47728,0.0930923463194992
3.5,0.0938551409068408
3.52273,0.09462279325116404
3.54545,0.09539463972425455
3.56818,0.09617137144004612
3.59091,0.09695266119564677
3.61364,0.09773852035885018
3.63637,0.09852896014926418
3.65909,0.09932364085896578
3.68182,0.10012327296123863
3.70454,0.10092716365114525
3.72727,0.10173603123836819
3.75,0.10254953344620411
3.77273,0.10336768068010008
3.79546,0.10419048322124762
3.81818,0.10501758616004736
3.84091,0.10584972761802679
3.86363,0.10668618531526136
3.88636,0.10752770537996045
3.90909,0.10837393038764703
3.93182,0.10922486993411676
3.95454,0.11008015602325191
3.97727,0.11094055093248192
4.0,0.11180568854328017
4.02273,0.11267557804564847
4.04546,0.11355022853384772
4.06818,0.11442926105985368
4.09091,0.11531345832584022
4.11363,0.11620205114292922
4.13636,0.11709583045219887
4.15909,0.11799441484821024
4.18182,0.11889781289399806
4.20454,0.11980563244026285
4.22727,0.12071868102186979
4.25,0.12163656845432858
4.27272,0.1225588959620458
4.29545,0.1234864836207634
4.31818,0.1244189346404699
4.34091,0.12535625704628336
4.36364,0.1262984587927652
4.38636,0.12724513002048363
4.40909,0.12819711188168642
4.43182,0.1291539965347836
4.45455,0.13011579166622556
4.47727,0.13108207851348988
4.5,0.13205371523875176
4.52272,0.13302985439627388
4.54545,0.1340113626998958
4.56818,0.1349978189769255
4.59091,0.13598923054996717
4.61364,0.13698560468502613
4.63636,0.1379865069603441
4.65909,0.13899282560527135
4.68182,0.14000412827817266
4.70454,0.14101997381514636
4.72727,0.14204126344253395
4.75,0.14306755809180707
4.77273,0.14409886466152777
4.79545,0.14513473296860882
4.81818,0.14617608166850987
4.84091,0.1472224626928707
4.86363,0.14827341907239563
4.88636,0.14932988260596353
4.90909,0.15039139845284635
4.93182,0.15145797318846121
4.95454,0.15252914076542878
4.97727,0.1536058506007777
5.0,0.15468763879333347
5.02273,0.15577451175097354
5.04546,0.156866475841449
5.06818,0.1579630536221553
5.09091,0.15906521667763684
5.11363,0.16017200146618166
5.13636,0.1612843884817332
5.15909,0.16240189788454742
5.18182,0.1635245358152294
5.20455,0.16465230837864708
5.22727,0.1657847220912684
5.25,0.16692277982903828
5.27273,0.16806599030273445
5.29545,0.16921385312290851
5.31818,0.17036738466451898
5.34091,0.17152608674348585
5.36364,0.17268996522982394
5.38636,0.17385851049672138
5.40909,0.1750327569985191
5.43181,0.17621167729367718
5.45455,0.17739683723195043
5.47727,0.17858615781305334
5.5,0.17978121169424027
5.52273,0.18098148221147337
5.54545,0.18218644349318563
5.56818,0.18339716184539556
5.59091,0.18461311363974292
5.61364,0.1858343044241833
5.63637,0.18706073971986778
5.65909,0.18829188198985353
5.68182,0.1895288204528007
5.70454,0.1907704721712514
5.72727,0.1920179355641221
5.75,0.1932706706800686
5.77273,0.19452868288705957
5.79546,0.19579197752873173
5.81818,0.19706000065200235
5.8409,0.19833331216690425
5.86363,0.19961248127168427
5.88636,0.20089695394417023
5.90909,0.20218673541110785
5.93182,0.20348183087676652
5.95454,0.2047816722391151
5.97727,0.20608740888299387
6.0,0.20739847500414202
6.02273,0.20871487571975955
6.04546,0.21003661612595623
6.06818,0.2113631162746669
6.09091,0.21269554891254422
6.11363,0.2140327466691534
6.13636,0.21537589166768348
6.15909,0.2167244015255762
6.18182,0.21807828121773462
6.20455,0.21943753569970034
6.22727,0.2208015683572759
6.25,0.2221715848391363
6.27272,0.22354638456958614
6.29545,0.22492718263822
6.31818,0.22631337998753537
6.34091,0.22770498146157972
6.36364,0.22910199188655478
6.38636,0.23050379788735256
6.40909,0.23191163823748634
6.43182,0.2333249019099788
6.45455,0.23474359366163222
6.47728,0.23616771823237365
6.5,0.23759665021730095
6.52273,0.23903165218408048
6.54545,0.24047146616842924
6.56818,0.24191736428476585
6.59091,0.24336871866893284
6.61364,0.24482553396337273
6.63636,0.24628717026608696
6.65909,0.24775491883836306
6.68182,0.2492281421529524
6.70455,0.25070684479065874
6.72727,0.2521903771471048
